Name,Score,fg
alice blue,19,black
antique white,20,black
AntiqueWhite1,20,black
AntiqueWhite2,19,black
AntiqueWhite3,16,black
AntiqueWhite4,11,black
aquamarine,10,black
aquamarine2,9,black
aquamarine3,8,black
aquamarine4,5,white
azure,19,black
azure2,18,black
azure3,15,black
azure4,10,black
beige,19,black
bisque,20,black
bisque2,19,black
bisque3,16,black
bisque4,11,black
black,0,white
blanched almond,20,black
blue violet,11,white
brown,13,black
brown1,20,black
brown2,19,black
brown3,16,black
brown4,11,white
burlywood,17,black
burlywood1,20,black
burlywood2,19,black
burlywood3,16,black
burlywood4,11,black
cadet blue,7,white
CadetBlue1,12,black
CadetBlue2,11,black
CadetBlue3,10,black
CadetBlue4,7,white
chocolate,16,black
chocolate1,20,black
chocolate2,19,black
chocolate3,16,black
chocolate4,11,white
coral1,20,black
coral2,19,black
coral3,16,black
coral4,11,white
cornflower blue,8,white
cornsilk,20,black
cornsilk2,19,black
cornsilk3,16,black
cornsilk4,11,black
crimson,17,black
cyan2,0,white
cyan3,0,white
cyan4,0,white
dark goldenrod,14,black
dark gray,13,black
dark green,0,white
dark khaki,15,black
dark magenta,11,white
dark olive green,7,white
dark orange,20,black
dark orchid,12,black
dark salmon,18,black
dark sea green,11,black
dark slate blue,6,white
dark slate gray,4,white
dark turquoise,0,white
dark violet,12,black
DarkGoldenrod1,20,black
DarkGoldenrod2,19,black
DarkGoldenrod3,16,black
DarkGoldenrod4,11,white
DarkOliveGreen1,16,black
DarkOliveGreen2,15,black
DarkOliveGreen3,13,black
DarkOliveGreen4,9,white
DarkOrchid1,15,black
DarkOrchid2,14,black
DarkOrchid3,12,black
DarkOrchid4,8,white
DarkSeaGreen1,15,black
DarkSeaGreen2,14,black
DarkSeaGreen3,12,black
DarkSeaGreen4,8,white
DarkSlateGray1,12,black
DarkSlateGray2,11,black
DarkSlateGray3,9,black
DarkSlateGray4,6,white
deep pink,20,black
deep sky blue,0,black
DeepPink2,19,black
DeepPink3,16,black
DeepPink4,11,white
DeepSkyBlue2,0,white
DeepSkyBlue3,0,white
DeepSkyBlue4,0,white
dim gray,8,white
dodger blue,2,white
DodgerBlue2,2,white
DodgerBlue3,2,white
DodgerBlue4,1,white
firebrick,14,white
firebrick1,20,black
firebrick2,19,black
firebrick3,16,white
firebrick4,11,white
floral white,20,black
forest green,3,white
fuchsia,20,black
gainsboro,17,black
ghost white,19,black
gold,20,black
gold2,19,black
gold3,16,black
gold4,11,black
goldenrod,17,black
goldenrod1,20,black
goldenrod2,19,black
goldenrod3,16,black
goldenrod4,11,white
gray,10,white
green,0,white
green yellow,14,black
hot pink,20,black
HotPink1,20,black
HotPink3,16,black
HotPink4,11,white
indian red,16,black
IndianRed1,20,black
IndianRed2,19,black
IndianRed3,16,black
indigo,6,white
ivory2,19,black
ivory3,16,black
ivory4,11,black
khaki,19,black
khaki1,20,black
khaki2,19,black
khaki3,16,black
khaki4,11,black
lavender,18,black
lavender blush,20,black
LavenderBlush2,19,black
LavenderBlush3,16,black
lawn green,10,black
LemonChiffon2,19,black
LemonChiffon3,16,black
LemonChiffon4,11,black
light blue,14,black
light coral,19,black
light cyan,18,black
light goldenrod,19,black
light gray,17,black
light green,11,black
light pink,20,black
light salmon,20,black
light sea green,3,white
light sky blue,11,black
light slate blue,10,black
light slate gray,9,white
light steel blue,14,black
LightBlue1,15,black
LightBlue2,14,black
LightBlue3,12,black
LightBlue4,8,white
LightCyan2,16,black
LightCyan3,14,black
LightCyan4,10,white
LightGoldenrod1,20,black
LightGoldenrod2,19,black
LightGoldenrod3,16,black
LightGoldenrod4,11,black
LightPink1,20,black
LightPink2,19,black
LightPink3,16,black
LightPink4,11,white
LightSalmon2,19,black
LightSalmon3,16,black
LightSalmon4,11,white
LightSkyBlue1,14,black
LightSkyBlue2,13,black
LightSkyBlue3,11,black
LightSkyBlue4,8,white
LightSteelBlue1,16,black
LightSteelBlue2,15,black
LightSteelBlue3,13,black
LightSteelBlue4,9,white
lime green,4,white
linen,20,black
magenta2,19,black
magenta3,16,black
maroon,10,white
maroon1,20,black
maroon2,19,black
maroon3,16,black
maroon4,11,white
medium orchid,15,black
medium purple,12,black
medium sea green,5,white
medium slate blue,10,white
medium spring green,0,black
medium turquoise,6,black
medium violet red,16,white
MediumOrchid1,18,black
MediumOrchid2,16,black
MediumOrchid3,14,black
MediumOrchid4,10,white
MediumPurple1,13,black
MediumPurple2,12,black
MediumPurple3,11,black
MediumPurple4,7,white
midnight blue,2,white
mint cream,19,black
navajo white,20,black
NavajoWhite2,19,black
NavajoWhite3,16,black
NavajoWhite4,11,black
old lace,20,black
olive drab,8,white
OliveDrab1,15,black
OliveDrab2,14,black
OliveDrab3,12,black
orange,20,black
orange red,20,black
orange2,19,black
orange3,16,black
orange4,11,white
OrangeRed2,19,black
OrangeRed3,16,white
OrangeRed4,11,white
orchid,17,black
orchid1,20,black
orchid2,19,black
orchid3,16,black
orchid4,11,white
pale green,12,black
pale turquoise,14,black
pale violet red,17,black
PaleGreen1,12,black
PaleGreen3,10,black
PaleGreen4,7,white
PaleTurquoise1,15,black
PaleTurquoise2,14,black
PaleTurquoise3,12,black
PaleTurquoise4,8,black
PaleVioletRed1,20,black
PaleVioletRed2,19,black
PaleVioletRed3,16,black
peach puff,20,black
PeachPuff2,19,black
PeachPuff3,16,black
PeachPuff4,11,white
pink,20,black
pink1,20,black
pink2,19,black
pink3,16,black
pink4,11,white
plum,17,black
plum1,20,black
plum2,19,black
plum3,16,black
plum4,11,white
powder blue,14,black
purple1,12,black
purple2,11,black
purple3,10,white
purple4,7,white
rosy brown,15,black
royal blue,5,white
RoyalBlue1,6,white
RoyalBlue2,5,white
RoyalBlue3,5,white
RoyalBlue4,3,white
salmon,20,black
salmon2,19,black
salmon3,16,black
salmon4,11,white
sandy brown,19,black
sea green,4,white
SeaGreen1,7,black
SeaGreen2,6,black
SeaGreen3,5,black
seashell,20,black
seashell2,19,black
seashell3,16,black
sienna,13,white
silver,15,black
SkyBlue2,10,black
SkyBlue3,8,white
SkyBlue4,6,white
slate blue,8,white
slate gray,9,white
SlateBlue1,10,black
SlateBlue2,10,white
SlateBlue3,8,white
SlateBlue4,6,white
SlateGray1,16,black
SlateGray2,15,black
SlateGray3,12,black
SlateGray4,8,white
steel blue,5,white
SteelBlue1,8,white
SteelBlue2,7,white
SteelBlue3,6,white
SteelBlue4,4,white
tan,16,black
thistle,17,black
thistle1,20,black
thistle2,19,black
thistle3,16,black
thistle4,11,black
tomato,20,black
tomato2,19,black
tomato3,16,black
tomato4,11,white
turquoise,0,black
turquoise1,0,black
turquoise2,0,black
turquoise3,0,black
turquoise4,0,white
violet red,16,black
VioletRed1,20,black
VioletRed2,19,black
VioletRed3,16,black
VioletRed4,11,white
wheat,19,black
wheat1,20,black
wheat2,19,black
wheat3,16,black
wheat4,11,white
white,20,black
